Site,Species,Plot,Tag_ID,Population,GreenhouseID,Clone,Endo,Position,ini_Tiller
BFL,AGHY,5,219,SJC,42-3-1,NA,1,15,3
BFL,AGHY,6,115,SJC,42-3-24,NA,1,1,12
BFL,AGHY,6,116,SJC,42-4-27,NA,0,2,5
BFL,AGHY,6,117,COHR,35-6-21,AJ,1,3,3
BFL,AGHY,6,118,LPEF,242-2-16,NA,0,4,16
BFL,AGHY,6,119,SJC,42-4-26,NA,0,5,6
BFL,AGHY,6,120,SJC,42-3-38,NA,1,6,24
BFL,AGHY,6,121,LPEF,28-1-2,NA,1,7,4
BFL,AGHY,6,122,COHR,35-1-36,AD,1,8,12
BFL,AGHY,6,123,LPEF,28-1-1,NA,1,9,5
BFL,AGHY,6,124,SJC,42-3-62,NA,1,10,9
BFL,AGHY,6,125,LPEF,242-2-23,NA,0,11,15
BFL,AGHY,6,126,COHR,215-1-15,BC,0,12,6
BFL,AGHY,6,127,COHR,35-6-13,AA,0,13,16
BFL,AGHY,6,128,COHR,35-1-30,AD,1,14,5
BFL,AGHY,6,129,LPEF,GH-35-1,AZ,1,15,1
BFL,AGHY,7,221,LPEF,242-2-23,NA,0,1,10
BFL,AGHY,7,222,LPEF,242-2-47,AA,0,2,15
BFL,AGHY,7,223,SJC,42-3-31,NA,1,3,8
BFL,AGHY,7,224,SJC,42-4-11,NA,0,4,7
BFL,AGHY,7,225,LPEF,242-2-42,NA,0,5,15
BFL,AGHY,7,226,SJC,42-3-9,NA,1,6,4
BFL,AGHY,7,227,LPEF,GH-35-8,AW,1,7,8
BFL,AGHY,7,228,COHR,35-1-19,AB,0,8,21
BFL,AGHY,7,229,COHR,35-1-31,AB,1,9,7
BFL,AGHY,7,230,LPEF,GH-35-3,CD,1,10,7
BFL,AGHY,7,231,SJC,42-4-72,NA,0,11,4
BFL,AGHY,7,D_BFA7_12,SJC,42-4-28,NA,0,12,4
BFL,AGHY,7,232,COHR,35-1-2,AA,0,13,11
BFL,AGHY,7,233,COHR,215-1-15,BW,0,14,12
BFL,AGHY,7,220,COHR,26-8-1,AI,1,15,3
BFL,AGHY,8,130,SJC,42-4-32,NA,0,1,4
BFL,AGHY,8,131,LPEF,GH-35-3,BI,1,2,4
BFL,AGHY,8,132,LPEF,GH-35-1,AO,1,3,6
BFL,AGHY,8,133,COHR,35-6-19,AR,1,4,7
BFL,AGHY,8,134,SJC,42-3-58,NA,1,5,10
BFL,AGHY,8,135,COHR,35-1-36,NA,1,6,10
BFL,AGHY,8,136,LPEF,242-2-42,AA,0,7,22
BFL,AGHY,8,137,LPEF,GH-35-1,A,1,8,7
BFL,AGHY,8,138,COHR,35-6-21,AC,1,9,3
BFL,AGHY,8,139,SJC,42-3-16,NA,1,10,4
BFL,AGHY,8,140,COHR,35-1-25,AG,1,11,4
BFL,AGHY,8,141,SJC,42-3-23,NA,1,12,10
BFL,AGHY,8,142,LPEF,GH-35-6,AJ,1,13,6
BFL,AGHY,8,143,COHR,215-2-1,AG,0,14,10
BFL,AGHY,8,144,SJC,42-3-29,NA,1,15,5
BFL,ELVI,1,2647,HUNT,E41,NA,0,1,4
BFL,ELVI,1,2648,PALM,98,AK,1,2,1
BFL,ELVI,1,2649,HUNT,F52,NA,0,3,3
BFL,ELVI,1,2650,SHS,106-36A-24,AG,1,4,2
BFL,ELVI,1,2651,PALM,218D,AL,1,5,11
BFL,ELVI,1,2652,PALM,218D,AJ,1,6,9
BFL,ELVI,1,2653,PALM,G39,NA,1,7,7
BFL,ELVI,1,2654,PALM,H54,NA,1,8,5
BFL,ELVI,1,D_BFE1_9,PALM,98,AM,1,9,4
BFL,ELVI,1,2655,RL5,D3,NA,0,10,5
BFL,ELVI,1,2656,RL5,C33,NA,1,11,14
BFL,ELVI,1,D_BFE1_12,PALM,K5,NA,0,12,3
BFL,ELVI,1,2657,JLP,110-2A-13D,AX,1,13,2
BFL,ELVI,1,2658,PALM,K4,NA,0,14,5
BFL,ELVI,1,2659,RL5,D2,NA,0,15,7
BFL,ELVI,2,2660,JLP,110-2A-13D,AW,1,1,1
BFL,ELVI,2,2661,PALM,G54,NA,1,2,3
BFL,ELVI,2,2662,JLP,110-5A-2J,NA,0,3,2
BFL,ELVI,2,2663,PALM,K51,NA,0,4,7
BFL,ELVI,2,2664,JLP,110-5A-2Y,NA,0,5,3
BFL,ELVI,2,2665,HUNT,E36,AA,0,6,2
BFL,ELVI,2,2666,PALM,K58,NA,0,7,4
BFL,ELVI,2,2667,JLP,110-5A-2R,NA,0,8,2
BFL,ELVI,2,2668,JLP,110-5A-2C,NA,0,9,2
BFL,ELVI,2,2669,PALM,K50,NA,0,10,1
BFL,ELVI,2,2670,RL5,D3,AA,0,11,3
BFL,ELVI,2,2671,RL5,D22,NA,0,12,4
BFL,ELVI,2,2672,PALM,K11,NA,0,13,2
BFL,ELVI,2,2673,RL5,D33,NA,1,14,2
BFL,ELVI,2,2674,HUNT,F10,NA,0,15,2
BFL,ELVI,3,2675,JLP,110-5A-2E,NA,0,1,3
BFL,ELVI,3,2676,PALM,G17,NA,1,2,8
BFL,ELVI,3,2677,PALM,218D,AP,1,3,11
BFL,ELVI,3,2678,JLP,110-5A-2M,NA,0,4,5
BFL,ELVI,3,2679,RL5,D12,AA,0,5,4
BFL,ELVI,3,2680,PALM,218D,AW,1,6,11
BFL,ELVI,3,2681,PALM,I6,NA,0,7,8
BFL,ELVI,3,2682,HUNT,F14,NA,0,8,2
BFL,ELVI,3,2683,PALM,I5,NA,0,9,3
BFL,ELVI,3,2684,HUNT,F4,NA,0,10,4
BFL,ELVI,3,2685,JLP,106-36A-24,AE,1,11,2
BFL,ELVI,3,2686,PALM,I24,NA,0,12,4
BFL,ELVI,3,2687,RL5,D33,AY,1,13,2
BFL,ELVI,3,2688,SHS,106A-36A-20,AI,1,14,2
BFL,ELVI,3,2689,RL5,D15,AA,0,15,8
BFL,ELVI,4,2093,PALM,G48,NA,1,1,4
BFL,ELVI,4,2094,HUNT,F4,AA,0,2,4
BFL,ELVI,4,2095,PALM,218D,AO,1,3,8
BFL,ELVI,4,2096,PALM,G10,NA,1,4,6
BFL,ELVI,4,2690,PALM,G11,NA,1,5,6
BFL,ELVI,4,2691,PALM,239,AP,1,6,2
BFL,ELVI,4,2692,PALM,143,AB,0,7,3
BFL,ELVI,4,2693,PALM,G49,NA,1,8,6
BFL,ELVI,4,2694,PALM,239,AQ,1,9,3
BFL,ELVI,4,2695,JLP,110-2A-6A-2I,NA,1,10,3
BFL,ELVI,4,2696,RL5,D26,NA,1,11,4
BFL,ELVI,4,2697,PALM,228C,AR,1,12,5
BFL,ELVI,4,2698,SHS,106-36A-24,AD,1,13,1
BFL,ELVI,4,2699,JLP,110-44C-2,AA,1,14,4
BFL,ELVI,4,2700,RL5,C34,AB,0,15,4
BFL,ELVI,5,2445,PALM,K3,NA,0,1,4
BFL,ELVI,5,2446,RL5,C26,AA,0,2,5
BFL,ELVI,5,2447,RL5,D4,AA,0,3,8
BFL,ELVI,5,2448,PALM,220-D,AG,0,4,14
BFL,ELVI,5,2449,JLP,110-5A-2H,NA,0,5,5
BFL,ELVI,5,2450,PALM,228C,AM,1,6,12
BFL,ELVI,5,2451,PALM,G62,NA,1,7,3
BFL,ELVI,5,2452,PALM,K2,NA,0,8,4
BFL,ELVI,5,2453,JLP,110-5A-2F,NA,0,9,2
BFL,ELVI,5,2454,PALM,228C,AL,1,10,10
BFL,ELVI,5,2455,PALM,H55,NA,1,11,4
BFL,ELVI,5,2456,HUNT,F37,NA,0,12,3
BFL,ELVI,5,2457,RL5,D32,NA,1,13,3
BFL,ELVI,5,2458,PALM,K1,NA,0,14,5
BFL,ELVI,5,2459,JLP,109-19A-25,AG,1,15,3
BFL,ELVI,6,2430,PALM,218D,AI,1,1,8
BFL,ELVI,6,2431,PALM,228C,AE,1,2,11
BFL,ELVI,6,2432,PALM,G61,NA,1,3,5
BFL,ELVI,6,2433,PALM,110-5A-8,AG,1,4,1
BFL,ELVI,6,2434,PALM,225,AN,1,5,8
BFL,ELVI,6,2435,RL5,D25,AA,1,6,3
BFL,ELVI,6,2436,HUNT,E15,NA,0,7,1
BFL,ELVI,6,2437,RL5,D31,AA,0,8,4
BFL,ELVI,6,2438,PALM,225,AK,1,9,9
BFL,ELVI,6,2439,PALM,218D,AV,1,10,9
BFL,ELVI,6,2440,JLP,110-44L-2,AH,1,11,3
BFL,ELVI,6,2441,PALM,H43,NA,1,12,3
BFL,ELVI,6,2442,PALM,H40,NA,1,13,7
BFL,ELVI,6,2443,JLP,110-44L-2,AD,1,14,3
BFL,ELVI,6,2444,PALM,100,AF,0,15,2
BFL,ELVI,7,2415,PALM,G59,NA,1,1,5
BFL,ELVI,7,2416,RL5,D19,AA,0,2,6
BFL,ELVI,7,2417,PALM,218D,AM,1,3,5
BFL,ELVI,7,2418,JLP,110-44L-10,AF,1,4,4
BFL,ELVI,7,2419,PALM,K7,NA,0,5,3
BFL,ELVI,7,2420,PALM,98,AF,1,6,6
BFL,ELVI,7,2421,PALM,G45,NA,1,7,5
BFL,ELVI,7,2422,PALM,98,AL,1,8,8
BFL,ELVI,7,2423,PALM,218D,AK,1,9,5
BFL,ELVI,7,2424,PALM,K6,NA,0,10,4
BFL,ELVI,7,2425,RL5,D43,NA,1,11,5
BFL,ELVI,7,2426,PALM,G34,NA,1,12,7
BFL,ELVI,7,2427,RL5,D22,AA,0,13,4
BFL,ELVI,7,2428,RL5,D5,NA,0,14,7
BFL,ELVI,7,2429,HUNT,F50,NA,0,15,2
BFL,ELVI,8,2401,JLP,110-5A-2L,NA,0,1,7
BFL,ELVI,8,D_BFE8_2,JLP,110-5A-2D,NA,0,2,3
BFL,ELVI,8,2402,RL5,C11,AA,0,3,6
BFL,ELVI,8,2403,PALM,K12,NA,0,4,2
BFL,ELVI,8,2404,JLP,110-2A-13D,AG,1,5,3
BFL,ELVI,8,2405,HUNT,F9,NA,0,6,3
BFL,ELVI,8,2406,RL5,C22,AA,0,7,5
BFL,ELVI,8,2407,RL5,D39,AA,1,8,5
BFL,ELVI,8,2408,PALM,K13,NA,0,9,3
BFL,ELVI,8,2409,PALM,K26,NA,0,10,6
BFL,ELVI,8,2410,JLP,110-5A-2Z,NA,0,11,3
BFL,ELVI,8,2411,JLP,110-5A-2K,NA,0,12,3
BFL,ELVI,8,2412,RL5,D1,NA,0,13,2
BFL,ELVI,8,2413,PALM,G44,NA,1,14,8
BFL,ELVI,8,2414,PALM,K48,NA,0,15,2
BFL,POAU,1,175,LA1,201-29B,BY,0,1,8
BFL,POAU,1,176,LA1,200-24A,BH,0,2,8
BFL,POAU,1,177,LA2,84-5G-40,BG,1,3,13
BFL,POAU,1,178,SFAEF,872,BE,1,4,6
BFL,POAU,1,179,SFAEF,1335,AD,0,5,7
BFL,POAU,1,180,LA1,201-30B-6,CK,1,6,7
BFL,POAU,1,181,SFAEF,616,CF,1,7,5
BFL,POAU,1,182,LA2,84-4G-4,AL,0,8,4
BFL,POAU,1,183,SFAEF,1328,AK,0,9,8
BFL,POAU,1,184,SFAEF,B-75,NA,1,10,7
BFL,POAU,1,185,LA2,84-5G-40,BN,1,11,4
BFL,POAU,1,186,LA1,201-29B-4,BB,0,12,6
BFL,POAU,1,187,LA2,84-56-63,CL,1,13,5
BFL,POAU,1,188,LA2,84-5G-40,BO,1,14,11
BFL,POAU,1,189,SFAEF,2,AH,1,15,6
BFL,POAU,2,100,SFAEF,616,BP,1,1,5
BFL,POAU,2,101,LA2,84-5G-41,BD,1,2,12
BFL,POAU,2,102,LA7,203-9A,BC,0,3,11
BFL,POAU,2,103,LA2,84-4G-4,NA,0,4,8
BFL,POAU,2,104,LA2,84-5C,CB,0,5,7
BFL,POAU,2,105,LA2,84-1L-3,AY,1,6,7
BFL,POAU,2,106,SFAEF,1245,BD,0,7,13
BFL,POAU,2,107,LA2,84-4G-4,CC,0,8,6
BFL,POAU,2,108,SFAEF,1,AE,0,9,16
BFL,POAU,2,109,LA7,203-9A,AG,0,10,6
BFL,POAU,2,110,LA7,203-9A,AH,0,11,10
BFL,POAU,2,111,SFAEF,1328,AH,0,12,10
BFL,POAU,2,112,LA2,84-5C,BY,0,13,7
BFL,POAU,2,113,SFAEF,1335,AW,0,14,7
BFL,POAU,2,114,LA7,203-9A,BB,0,15,4
BFL,POAU,3,40,LA1,200-24A,BA,0,1,7
BFL,POAU,3,41,SFAEF,1335,AA,0,2,6
BFL,POAU,3,42,LA7,203-7A,AS,0,3,8
BFL,POAU,3,43,LA2,84-1L-3,BA,1,4,12
BFL,POAU,3,44,LA1,201-30B-6,CL,1,5,5
BFL,POAU,3,45,LA2,84-4G-4,AK,0,6,5
BFL,POAU,3,46,LA1,201-30B-6,BU,1,7,7
BFL,POAU,3,47,SFAEF,1335,AY,0,8,1
BFL,POAU,3,48,SFAEF,1245,AY,0,9,5
BFL,POAU,3,49,SFAEF,616,CE,1,10,15
BFL,POAU,3,50,LA1,201-29B,BR,0,11,6
BFL,POAU,3,51,SFAEF,1328,AJ,0,12,13
BFL,POAU,3,52,SFAEF,872,BN,1,13,8
BFL,POAU,3,53,LA2,84-5G-40,BM,1,14,9
BFL,POAU,3,54,LA1,201-29B,BQ,0,15,6
BFL,POAU,4,145,LA1,201-30B-6,CB,1,1,10
BFL,POAU,4,146,LA1,201-30B-6,CH,1,2,6
BFL,POAU,4,147,SFAEF,616,BW,1,3,15
BFL,POAU,4,148,SFAEF,872,BM,1,4,10
BFL,POAU,4,149,LA2,84-5G-63,BX,1,5,19
BFL,POAU,4,150,SFAEF,712,BW,0,6,7
BFL,POAU,4,151,LA2,84-1L-3,BJ,1,7,5
BFL,POAU,4,152,LA2,84-5G-63,CF,1,8,5
BFL,POAU,4,153,LA1,201-30B-6,CJ,1,9,4
BFL,POAU,4,154,SFAEF,#5,NA,1,10,30
BFL,POAU,4,155,LA1,201-30B-6,CA,1,11,6
BFL,POAU,4,156,SFAEF,616,CG,1,12,7
BFL,POAU,4,157,LA1,200-24A,BL,0,13,6
BFL,POAU,4,158,LA2,84-4G-4,CA,0,14,7
BFL,POAU,4,159,LA2,84-1L-3,AJ,1,15,1
BFL,POAU,5,1,LA2,84-5C,BS,0,1,8
BFL,POAU,5,2,LA7,203-9A,AW,0,2,6
BFL,POAU,5,3,LA7,203-9A,AE,0,3,7
BFL,POAU,5,4,LA7,203-9A,AF,0,4,9
BFL,POAU,5,5,LA2,84-5G-41,BE,1,5,22
BFL,POAU,5,6,LA2,84-5C,BW,0,6,7
BFL,POAU,5,7,SFAEF,1328,AG,0,7,10
BFL,POAU,5,8,SFAEF,1335,AI,0,8,3
BFL,POAU,5,9,LA7,203-9A,AZ,0,9,11
BFL,POAU,5,10,LA2,84-1L-3,AO,1,10,8
BFL,POAU,5,11,LA1,201-29B,BX,0,11,8
BFL,POAU,5,12,SFAEF,1245,BC,0,12,7
BFL,POAU,5,13,SFAEF,2,AB,1,13,7
BFL,POAU,5,14,SFAEF,1,AF,0,14,22
BFL,POAU,5,15,LA2,84-4G-4,CB,0,15,6
BFL,POAU,6,25,SFAEF,1245,BE,0,1,8
BFL,POAU,6,26,SFAEF,616,CD,1,2,11
BFL,POAU,6,27,SFAEF,1335,AP,0,3,5
BFL,POAU,6,28,LA2,84-5C,AY,0,4,3
BFL,POAU,6,29,LA1,200-24A,BF,0,5,7
BFL,POAU,6,30,SFAEF,1328,AI,0,6,12
BFL,POAU,6,31,LA1,201-30B-6,BT,1,7,7
BFL,POAU,6,32,LA1,200-24A,AZ,0,8,2
BFL,POAU,6,33,SFAEF,872,BD,1,9,5
BFL,POAU,6,34,LA1,200-24A,BG,0,10,4
BFL,POAU,6,35,LA2,84-1L-3,AX,1,11,4
BFL,POAU,6,36,LA2,84-5G-40,BL,1,12,9
BFL,POAU,6,37,LA2,84-4G-4,AJ,0,13,3
BFL,POAU,6,38,LA1,201-30B-6,BG,1,14,7
BFL,POAU,6,39,LA2,84-4G-4,AI,0,15,5
BFL,POAU,7,596,LA1,201-30B-6,CD,1,1,8
BFL,POAU,7,595,SFAEF,B-76,NA,1,2,6
BFL,POAU,7,16,LA1,201-29B-4,AU,0,3,4
BFL,POAU,7,17,LA2,84-5G-40,BF,1,4,10
BFL,POAU,7,597,LA1,201-29B,BZ,0,5,4
BFL,POAU,7,18,SFAEF,872,BO,1,6,7
BFL,POAU,7,19,SFAEF,2,AI,1,7,8
BFL,POAU,7,20,LA1,200-24A,AU,0,8,4
BFL,POAU,7,598,LA2,84-5G-63,CM,1,9,6
BFL,POAU,7,21,SFAEF,1328,AL,0,10,9
BFL,POAU,7,22,LA2,84-5G-40,BH,1,11,7
BFL,POAU,7,23,SFAEF,616,CH,1,12,1
BFL,POAU,7,593,SFAEF,1335,AH,0,13,5
BFL,POAU,7,594,LA2,84-5G-40,BA,1,14,11
BFL,POAU,7,24,LA2,84-4G-4,AM,0,15,3
BFL,POAU,8,55,LA1,201-30B-6,CI,1,1,4
BFL,POAU,8,56,SFAEF,872,BP,1,2,9
BFL,POAU,8,57,LA2,84-1L-3,BI,1,3,5
BFL,POAU,8,58,SFAEF,616,BX,1,4,4
BFL,POAU,8,59,LA2,84-5G-63,CE,1,5,8
BFL,POAU,8,60,LA2,84-5G-63,BQ,1,6,9
BFL,POAU,8,61,SFAEF,616,CI,1,7,1
BFL,POAU,8,62,LA1,201-30B-6,CC,1,8,6
BFL,POAU,8,63,LA2,84-1L-3,BB,1,9,3
BFL,POAU,8,64,LA1,200-24A,BM,0,10,8
BFL,POAU,8,65,SFAEF,#1,NA,1,11,13
BFL,POAU,8,66,SFAEF,712,BX,0,12,5
BFL,POAU,8,67,LA1,201-30B-6,CM,1,13,4
BFL,POAU,8,68,LA1,201-30B-6,CF,1,14,4
BFL,POAU,8,69,LA2,84-5C,AN,0,15,5
COL,AGHY,1,316,SJC,134-4-21,NA,1,1,9
COL,AGHY,1,317,SJC,134-4-28,NA,1,2,5
COL,AGHY,1,318,LPEF,GH-35-8,AU,1,3,3
COL,AGHY,1,319,LPEF,GH-35-6,AV,1,4,3
COL,AGHY,1,320,COHR,215-1-15,AX,0,5,4
COL,AGHY,1,321,COHR,35-6-14,AO,1,6,4
COL,AGHY,1,322,COHR,35-6-15,AB,1,7,5
COL,AGHY,1,323,SJC,134-6-1A,NA,1,8,2
COL,AGHY,1,324,SJC,134-6-43,NA,1,9,2
COL,AGHY,1,325,LPEF,GH-35-1,AG,1,10,2
COL,AGHY,1,326,SJC,211-10-91,NA,0,11,10
COL,AGHY,1,327,COHR,35-6-15,AC,1,12,4
COL,AGHY,1,328,LPEF,242-7-6U,AW,0,13,3
COL,AGHY,1,329,LPEF,GH-35-3,AW,1,14,4
COL,AGHY,1,330,COHR,35-6-14,AC,1,15,4
COL,AGHY,2,234,LPEF,242-7-6V,CI,0,1,6
COL,AGHY,2,235,COHR,35-6-15,AE,1,2,5
COL,AGHY,2,236,COHR,215-1-15,AZ,0,3,4
COL,AGHY,2,237,SJC,134-6-20,NA,1,4,2
COL,AGHY,2,238,SJC,211-10-34,AC,0,5,3
COL,AGHY,2,239,LPEF,242-7-6U,AI,0,6,4
COL,AGHY,2,240,COHR,215-1-15,AH,0,7,3
COL,AGHY,2,241,COHR,215-2,BE,0,8,1
COL,AGHY,2,242,LPEF,242-7-6V,BX,0,9,1
COL,AGHY,2,243,SJC,211-10-70,AA,0,10,9
COL,AGHY,2,244,LPEF,GH-35-3,AZ,1,11,3
COL,AGHY,2,245,SJC,211-10-70,AB,0,12,5
COL,AGHY,2,246,COHR,215-1-15,BG,0,13,5
COL,AGHY,2,247,LPEF,242-7-6U,BB,0,14,2
COL,AGHY,2,248,SJC,211-10-34,AF,0,15,4
COL,AGHY,3,249,SJC,134-6-4,NA,1,1,3
COL,AGHY,3,250,SJC,134-6-7,NA,1,2,5
COL,AGHY,3,251,SJC,134-6-8,NA,1,3,4
COL,AGHY,3,252,LPEF,GH-35-6,AK,1,4,2
COL,AGHY,3,253,SJC,211-10-44,AA,0,5,7
COL,AGHY,3,254,COHR,215-1-15,AP,0,6,3
COL,AGHY,3,255,COHR,215-3-45,AB,0,7,5
COL,AGHY,3,256,COHR,35-6-21,AA,1,8,5
COL,AGHY,3,257,COHR,35-6-15,AA,1,9,5
COL,AGHY,3,258,LPEF,GH-35-1,AQ,1,10,2
COL,AGHY,3,259,LPEF,242-7-6V,BT,0,11,1
COL,AGHY,3,260,SJC,211-10-50,AB,0,12,5
COL,AGHY,3,261,LPEF,242-7-6U,AQ,0,13,9
COL,AGHY,3,262,LPEF,GH-35-3,AV,1,14,2
COL,AGHY,3,263,COHR,35-6-14,AE,1,15,6
COL,AGHY,4,301,COHR,35-6-19,AB,1,1,4
COL,AGHY,4,302,COHR,215-1-15,AQ,0,2,2
COL,AGHY,4,303,LPEF,GH-35-6,AS,1,3,3
COL,AGHY,4,304,COHR,215-2,AW,0,4,1
COL,AGHY,4,305,COHR,215-1-15,AD,0,5,3
COL,AGHY,4,306,LPEF,242-7-6V,BW,0,6,1
COL,AGHY,4,307,LPEF,GH-35-3,AY,1,7,3
COL,AGHY,4,308,SJC,134-4-9,AA,1,8,5
COL,AGHY,4,309,SJC,211-10-34,AB,0,9,4
COL,AGHY,4,310,LPEF,242-7-6V,BN,0,10,1
COL,AGHY,4,311,COHR,35-6-16,AD,1,11,2
COL,AGHY,4,312,SJC,211-10-63,AC,0,12,5
COL,AGHY,4,313,SJC,134-6-19,NA,1,13,1
COL,AGHY,4,314,LPEF,242-7-6U,AC,0,14,5
COL,AGHY,4,315,SJC,211-10-34,AA,0,15,5
COL,AGHY,5,404,SJC,211-10-34,AD,0,1,5
COL,AGHY,5,405,LPEF,242-7-6V,CQ,0,2,2
COL,AGHY,5,406,COHR,35-6-21,AE,1,3,4
COL,AGHY,5,407,SJC,211-10-70,AC,0,4,4
COL,AGHY,5,408,SJC,134-4-8,AA,1,5,4
COL,AGHY,5,409,LPEF,242-7-6U,AS,0,6,5
COL,AGHY,5,410,LPEF,242-7-6U,AR,0,7,5
COL,AGHY,5,411,COHR,215-2,BI,0,8,2
COL,AGHY,5,412,COHR,215-1-15,AS,0,9,3
COL,AGHY,5,413,COHR,215-2,AE,0,10,2
COL,AGHY,5,414,COHR,215-1-15,AR,0,11,3
COL,AGHY,5,415,LPEF,242-7-6V,CR,0,12,4
COL,AGHY,5,416,SJC,211-10-34,AH,0,13,5
COL,AGHY,5,417,SJC,211-10-34,AE,0,14,5
COL,AGHY,5,418,LPEF,GH-35-3,AQ,1,15,NA
COL,AGHY,6,374,SJC,211-10-28,NA,0,1,4
COL,AGHY,6,375,LPEF,GH-35-6,AT,1,2,5
COL,AGHY,6,376,SJC,134-4-16,AA,1,3,2
COL,AGHY,6,377,COHR,215-1-15,AC,0,4,2
COL,AGHY,6,378,COHR,35-6-19,NA,1,5,2
COL,AGHY,6,379,LPEF,242-7-6V,BY,0,6,3
COL,AGHY,6,380,COHR,215-1-15,AE,0,7,2
COL,AGHY,6,381,COHR,35-6-19,AP,1,8,3
COL,AGHY,6,382,LPEF,242-7-6V,BQ,0,9,3
COL,AGHY,6,383,SJC,211-10-52,AA,0,10,4
COL,AGHY,6,384,LPEF,GH-35-3,AX,1,11,2
COL,AGHY,6,385,COHR,215-2,AX,0,12,4
COL,AGHY,6,386,SJC,134-4-28,AC,1,13,5
COL,AGHY,6,387,LPEF,242-7-6V,BK,0,14,6
COL,AGHY,6,388,SJC,211-10-50,AC,0,15,3
COL,AGHY,7,331,COHR,215-1-15,AY,0,1,4
COL,AGHY,7,D_CA7_2,LPEF,242-7-6V,CH,0,2,1
COL,AGHY,7,332,LPEF,GH-35-6,AM,1,3,2
COL,AGHY,7,333,COHR,215-2,AY,0,4,3
COL,AGHY,7,334,SJC,134-6-10,NA,1,5,1
COL,AGHY,7,335,LPEF,GH-35-3,AU,1,6,4
COL,AGHY,7,336,SJC,211-10-63,AA,0,7,2
COL,AGHY,7,337,LPEF,GH-35-1,AI,1,8,4
COL,AGHY,7,338,COHR,35-6-16,AA,1,9,4
COL,AGHY,7,339,COOH,35-6-16,AE,1,10,3
COL,AGHY,7,340,COHR,35-6-21,AH,1,11,9
COL,AGHY,7,D_CA7_12,SJC,134-4-1,NA,1,12,1
COL,AGHY,7,341,LPEF,242-7-6V,BH,0,13,3
COL,AGHY,7,342,SJC,134-4-9,NA,1,14,9
COL,AGHY,7,343,SJC,211-10-52,AA,0,15,3
COL,AGHY,8,359,LPEF,GH-35-3,AG,0,1,1
COL,AGHY,8,360,COHR,215-1-15,AB,0,2,1
COL,AGHY,8,361,LPEF,GH-35-1,AE,1,3,4
COL,AGHY,8,362,COHR,35-1-20,AB,1,4,7
COL,AGHY,8,363,SJC,134-6-32,NA,1,5,2
COL,AGHY,8,364,SJC,134-6-1C,NA,1,6,1
COL,AGHY,8,365,SJC,134-6-1D,NA,1,7,2
COL,AGHY,8,366,SJC,211-10-84,NA,0,8,5
COL,AGHY,8,367,COHR,35-6-21,NA,1,9,5
COL,AGHY,8,368,LPEF,GH-35-1,AJ,1,10,5
COL,AGHY,8,369,SJC,134-6-28,NA,1,11,2
COL,AGHY,8,370,COHR,35-6-14,AA,1,12,5
COL,AGHY,8,371,COHR,35-1-15,AB,1,13,7
COL,AGHY,8,372,LPEF,GH-35-6,AW,1,14,5
COL,AGHY,8,373,LPEF,242-7-6U,BA,0,15,6
COL,ELVI,1,2176,PALM,H46,NA,0,1,7
COL,ELVI,1,2177,HUNT,F1,NA,0,2,2
COL,ELVI,1,2178,JLP,110-2A-21,AE,1,3,2
COL,ELVI,1,2179,PALM,80,AJ,0,4,4
COL,ELVI,1,2180,JLP,110-5A-3P,NA,0,5,3
COL,ELVI,1,2181,HUNT,E7,NA,1,6,5
COL,ELVI,1,2182,JLP,110-5A-3R,NA,0,7,5
COL,ELVI,1,2183,PALM,G55,NA,0,8,4
COL,ELVI,1,2184,PALM,63,AJ,0,9,2
COL,ELVI,1,2185,PALM,G56,NA,0,10,3
COL,ELVI,1,2186,JLP,110-5A-3Q,NA,0,11,4
COL,ELVI,1,2187,PALM,100,AN,0,12,2
COL,ELVI,1,2188,PALM,98,AO,1,13,4
COL,ELVI,1,2189,RL5,C21,AA,0,14,3
COL,ELVI,1,2190,RL5,C11,NA,0,15,2
COL,ELVI,2,2224,PALM,98,AO,1,1,7
COL,ELVI,2,2225,JLP,110-5A-3S,NA,0,2,10
COL,ELVI,2,2226,JLP,110-2A-21,AB,1,3,5
COL,ELVI,2,2227,RL5,C27,AA,0,4,3
COL,ELVI,2,2228,RL5,D31,NA,1,5,3
COL,ELVI,2,2229,PALM,102C,AA,0,6,3
COL,ELVI,2,2230,PALM,98,AP,1,7,4
COL,ELVI,2,2231,RL5,C20,NA,0,8,5
COL,ELVI,2,2232,PALM,218B,AC,1,9,1
COL,ELVI,2,2233,PALM,80,AK,0,10,2
COL,ELVI,2,2234,PALM,G60,NA,0,11,8
COL,ELVI,2,2235,PALM,228C,AC,1,12,11
COL,ELVI,2,2236,JLP,110-5A-3T,NA,0,13,1
COL,ELVI,2,2237,PALM,G58,NA,0,14,8
COL,ELVI,2,2238,HUNT,F1,AA,0,15,1
COL,ELVI,3,2239,PALM,221,AX,1,1,2
COL,ELVI,3,2240,JLP,110-2A-13D,BA,1,2,2
COL,ELVI,3,2241,PALM,80,AI,0,3,4
COL,ELVI,3,2242,RL5,D41,NA,1,4,7
COL,ELVI,3,2243,JLP,110-5A-3O,NA,0,5,1
COL,ELVI,3,2244,JLP,110-5A-3N,NA,0,6,3
COL,ELVI,3,2245,PALM,G7,NA,0,7,11
COL,ELVI,3,2246,PALM,63,AI,0,8,3
COL,ELVI,3,2247,JLP,110-5A-3M,NA,0,9,1
